,XBB.TO,XCB.TO,XEF.TO,XEM.TO,XHY.TO,XIG.TO,XIU.TO,XSB.TO,XUS.TO
2016-07-22,24.78069305419922,15.95754623413086,20.33694839477539,22.126449584960938,11.911310195922852,17.818973541259766,16.325611114501953,22.62248992919922,15.695791244506836
2016-07-25,24.78069305419922,15.950191497802734,20.400474548339844,22.06829071044922,11.875090599060059,17.804231643676758,16.211288452148438,22.62248992919922,15.726633071899414
2016-07-26,24.78069305419922,15.972270011901855,20.464004516601562,22.1430721282959,11.838859558105469,17.774770736694336,16.272254943847656,22.62248992919922,15.700199127197266
2016-07-27,24.834362030029297,15.99434757232666,20.551353454589844,22.226160049438477,11.838859558105469,17.855802536010742,16.25701141357422,22.638423919677734,15.709009170532227
2016-07-28,24.84968376159668,16.00907325744629,20.53547477722168,22.20123291015625,11.826789855957031,17.818973541259766,16.264633178710938,22.638423919677734,15.691386222839355
2016-07-29,24.949365615844727,16.038511276245117,20.56723403930664,22.076595306396484,11.863009452819824,17.870532989501953,16.272254943847656,22.67028045654297,15.55478572845459
2016-08-02,24.872682571411133,16.023794174194336,20.448122024536133,22.001821517944336,11.790565490722656,17.715850830078125,16.14268684387207,22.654354095458984,15.506311416625977
2016-08-03,24.865013122558594,16.00907325744629,20.31312370300293,22.035058975219727,11.814709663391113,17.72321319580078,16.1960391998291,22.654354095458984,15.523941993713379
2016-08-04,24.918691635131836,16.04587745666504,20.329004287719727,22.06829071044922,11.826789855957031,17.796865463256836,16.165552139282227,22.654354095458984,15.475465774536133
2016-08-05,24.880355834960938,16.023794174194336,20.68635368347168,22.58344268798828,11.91734504699707,17.72321319580078,16.317983627319336,22.67028045654297,15.779509544372559
2016-08-08,24.903358459472656,16.04587745666504,20.65458869934082,22.749616622924805,11.935454368591309,17.73056983947754,16.455177307128906,22.678239822387695,15.76188850402832
2016-08-09,24.949365615844727,16.075315475463867,20.813405990600586,22.832706451416016,11.98375129699707,17.8410701751709,16.539016723632812,22.686201095581055,15.739853858947754
2016-08-10,24.949365615844727,16.08267593383789,20.78958511352539,22.658222198486328,11.935454368591309,17.90000343322754,16.500911712646484,22.678239822387695,15.60766315460205
2016-08-11,24.91103744506836,16.053232192993164,20.765758514404297,22.84932518005371,11.98375129699707,17.818973541259766,16.546640396118164,22.67028045654297,15.60325813293457
2016-08-12,24.918691635131836,16.090044021606445,20.741939544677734,22.766233444213867,12.026016235351562,17.914730072021484,16.478046417236328,22.67028045654297,15.559188842773438
2016-08-15,24.91103744506836,16.053232192993164,20.749881744384766,22.915794372558594,12.050167083740234,17.855802536010742,16.500911712646484,22.654354095458984,15.563593864440918
2016-08-16,24.872682571411133,16.053232192993164,20.5989990234375,22.683147430419922,12.032048225402832,17.833698272705078,16.43231201171875,22.654354095458984,15.422588348388672
2016-08-17,24.85735321044922,16.053232192993164,20.591060638427734,22.575130462646484,12.062232971191406,17.870532989501953,16.43231201171875,22.654354095458984,15.435810089111328
2016-08-18,24.888036727905273,16.060590744018555,20.51165008544922,22.600055694580078,12.080345153808594,17.907373428344727,16.40944480895996,22.66231918334961,15.352089881896973
2016-08-19,24.84968376159668,16.04587745666504,20.559297561645508,22.641603469848633,12.044123649597168,17.855802536010742,16.40944480895996,22.646392822265625,15.4490327835083
2016-08-22,24.91103744506836,16.08267593383789,20.694293975830078,22.492042541503906,12.05620002746582,17.929460525512695,16.49327850341797,22.646392822265625,15.54596996307373
2016-08-23,24.94169807434082,16.090044021606445,20.72606086730957,22.367412567138672,12.05620002746582,17.93683433532715,16.539016723632812,22.654354095458984,15.53715991973877
2016-08-24,24.927860260009766,16.079710006713867,20.733997344970703,22.45050048828125,12.03860855102539,17.95086669921875,16.409303665161133,22.649564743041992,15.471057891845703
2016-08-25,24.87407684326172,16.072328567504883,20.65458869934082,22.43387794494629,12.068930625915527,17.9139404296875,16.393964767456055,22.657541275024414,15.4490327835083
2016-08-26,24.82028579711914,16.042797088623047,20.56723403930664,22.367412567138672,12.02042007446289,17.899179458618164,16.409303665161133,22.625621795654297,15.506311416625977
2016-08-29,24.92017936706543,16.101848602294922,20.702228546142578,22.600055694580078,12.068930625915527,17.973007202148438,16.46302604675293,22.641572952270508,15.616475105285645
2016-08-30,24.95090675354004,16.094463348388672,20.797523498535156,22.67483901977539,12.11138916015625,17.92131996154785,16.493730545043945,22.649564743041992,15.682571411132812
2016-08-31,24.966289520263672,16.116605758666992,20.797523498535156,22.46711540222168,12.056809425354004,17.906566619873047,16.370925903320312,22.673505783081055,15.660541534423828
2016-09-01,24.97397232055664,16.116605758666992,20.876934051513672,22.500350952148438,12.062872886657715,17.92131996154785,16.46302604675293,22.681488037109375,15.616475105285645
2016-09-02,24.927860260009766,16.094463348388672,20.98016929626465,22.741308212280273,12.056809425354004,17.92131996154785,16.578155517578125,22.66552734375,15.590038299560547
2016-09-06,24.966289520263672,16.131364822387695,20.861055374145508,22.973957061767578,12.13564682006836,17.9139404296875,16.578155517578125,22.66552734375,15.444620132446289
2016-09-07,25.012386322021484,16.131364822387695,21.019872665405273,23.03211784362793,12.105320930480957,17.93609619140625,16.56280517578125,22.697446823120117,15.523941993713379
2016-09-08,24.889450073242188,16.101848602294922,21.011930465698242,23.0155029296875,12.105320930480957,17.81794548034668,16.56280517578125,22.657541275024414,15.532751083374023
2016-09-09,24.766498565673828,16.050188064575195,20.71811866760254,22.417261123657227,12.002223014831543,17.67764663696289,16.2865047454834,22.657541275024414,15.277181625366211
2016-09-12,24.74343490600586,16.02067756652832,20.92458724975586,22.608367919921875,12.03254508972168,17.68503189086914,16.355579376220703,22.641572952270508,15.519532203674316
2016-09-13,24.6204891204834,15.969011306762695,20.749881744384766,22.251089096069336,11.92337703704834,17.589033126831055,16.07928466796875,22.633594512939453,15.435810089111328
2016-09-14,24.67516326904297,15.980113983154297,20.702228546142578,22.350791931152344,11.918506622314453,17.640117645263672,16.10230255126953,22.637598037719727,15.426996231079102
2016-09-15,24.65206527709961,15.987523078918457,20.8848819732666,22.67483901977539,11.979437828063965,17.617918014526367,16.2865047454834,22.65358543395996,15.57681655883789
2016-09-16,24.659767150878906,15.980113983154297,20.72606086730957,22.600055694580078,11.979437828063965,17.677133560180664,16.232778549194336,22.65358543395996,15.581223487854004
2016-09-19,24.690574645996094,15.980113983154297,20.781646728515625,22.766233444213867,11.967251777648926,17.662324905395508,16.271154403686523,22.64559555053711,15.56800365447998
2016-09-20,24.752178192138672,16.024492263793945,20.813405990600586,22.799470901489258,11.936781883239746,17.677133560180664,16.29417610168457,22.66158676147461,15.57681655883789
2016-09-21,24.775293350219727,16.03929901123047,21.051637649536133,23.248146057128906,12.028185844421387,17.706741333007812,16.493730545043945,22.669588088989258,15.625286102294922
2016-09-22,24.859996795654297,16.07628059387207,21.25810432434082,23.339550018310547,12.06474781036377,17.839984893798828,16.585832595825195,22.67757225036621,15.664948463439941
2016-09-23,24.967824935913086,16.12067222595215,21.26207733154297,23.214914321899414,12.070837020874023,17.83257293701172,16.493730545043945,22.693571090698242,15.7222261428833
